ano_registro,id_producto,ano_publicacion,titulo,tipo_producto,tipo autor principal,autor principal,autores,documento
2013,100300059,2013,Alimento Natural en Acuacultura,Libro con arbitraje internacional,"Interno,Externo","Martínez Porchas Marcel,Martínez Córdova Luis Rafael","*Martínez Porchas Marcel,*Martínez Córdova Luis Rafael",http://200.23.35.7/archivos/productos/investigacion/libros/100300059_1.pdf
2013,100300064,2013,"Common and scientific names of fishes from the United States, Canada, and Mexico",Libro con arbitraje internacional,Externo,Page Larry M.,"Findley Talbott Lloyd,*Page Larry M.,Espinosa  H.,Gilbert Carter R.,Lea Robert N.,Mandrak Nicholas E.,Mayden Richard L.,Nelson Joseph S.",http://200.23.35.7/archivos/productos/investigacion/libros/100300064_1.pdf
2013,100300068,2013,Validación de un Método Analítico por Absorción Atómica,Libro con arbitraje internacional,Externo,García Alegría A.M.,"García Rico Leticia,*García Alegría A.M.,Gómez Alvarez Agustín",http://200.23.35.7/archivos/productos/investigacion/libros/100300068_1.pdf
2013,100300073,2013,Cadena agroindustrial de Jatropha curcas,Libro con arbitraje internacional,Interno,Angulo Escalante Miguel Angel,"*Angulo Escalante Miguel Angel,Escoto González Luz Gabriela ,Contreras Andrade Ignacio",http://200.23.35.7/archivos/productos/investigacion/libros/100300073_1.pdf
2013,100300066,2013,Hombres sonorenses.  Un estudio de género de tres generaciones,Libro con arbitraje nacional,Interno,Núñez Noriega Guillermo,*Núñez Noriega Guillermo,http://200.23.35.7/archivos/productos/investigacion/libros/100300066_1.pdf
2013,100300075,2013,Hongos de Reserva de la Biosfera El Pinacate y Gran Desierto de Altar,Libro con arbitraje nacional,Interno,Esqueda Valle Martín Candelario,"*Esqueda Valle Martín Candelario,Gutiérrez Saldaña Aldo Hiram,Coronado Andrade M.L.,Lizárraga Escobar M.,Raymundo Tania,Valenzuela Ricardo",http://200.23.35.7/archivos/productos/investigacion/libros/100300075_1.pdf
2013,100300062,2013,"Jóvenes rurales: viejos dilemas, nuevas realidades.",Libro con arbitraje nacional,Interno,Román Pérez Rosario,"*Román Pérez Rosario,Pacheco Ladrón de Guevara Lourdes C.,Urteaga Maritza",http://200.23.35.7/archivos/productos/investigacion/libros/100300062_1.pdf
2013,100300061,2013,CERTEZA VOCACIONAL EN EL CONTEXTO UNIVERSITARIO,Libro con arbitraje nacional,Estudiante,Velarde Hernández Delisahé,"Camarena Gómez Beatriz Olivia,*Velarde Hernández Delisahé,González Lomelí Daniel",http://200.23.35.7/archivos/productos/investigacion/libros/100300061_1.pdf
2013,100300070,2013,Desarrollo de normatividad y métodos para detección y medición de organismos microbiológicos en alimentos,Libro con arbitraje nacional,Externo,Pérez Urquiza Melina,"Castro Del Campo Nohelia,Montoya Rodríguez Leobardo,*Pérez Urquiza Melina,Amaro Reyes Aldo",http://200.23.35.7/archivos/productos/investigacion/libros/100300070_1.pdf
2013,100300071,2013,"MANUAL INTEGRADO DE LA NORMATIVIDAD Y MÉTODOS DE DETECCIÓN Y MEDICIÓN DE ORGANISMOS MICROBIOLÓGICOS EN ALIMENTOS COMO VEGETALES Y FRUTAS FRESCAS, PRODUCTOS DEL MAR Y CÁRNICOS DE ANIMALES TERRESTRES",Libro con arbitraje nacional,Externo,Pérez Urquiza Melina,"Castro Del Campo Nohelia,*Pérez Urquiza Melina,Amaro Reyes Aldo",http://200.23.35.7/archivos/productos/investigacion/libros/100300071_1.pdf
2013,100300077,2013,Guía práctica para la estandarización y evaluación de las canales bovinas mexicanas,Libro con arbitraje nacional,Externo,Braña Varela Diego,"Sánchez Escalante Armida,Torrescano Urrutia Gastón Ramón,*Braña Varela Diego,Delgado Suárez Enrique,Pérez Linares Cristina,Rubio Lozano Maria Salud ,Mendez Medina Rubén Danilo,Figueroa Saavedra Fernando",http://200.23.35.7/archivos/productos/investigacion/libros/100300077_1.pdf
2014,100300078,2014,JUST BETWEEN US.  AN ETHNOGRAPHY OF MALE IDENTITY AND INTIMACY IN RURAL COMMUNITIES OF NORTHERN MEXICO,Libro con arbitraje internacional,Interno,Núñez Noriega Guillermo,*Núñez Noriega Guillermo,http://200.23.35.7/archivos/productos/investigacion/libros/100300078_1.pdf
2014,100300086,2014,Nutrición Mineral de las plantas,Libro con arbitraje internacional,Interno,Sánchez Chávez Esteban,"*Sánchez Chávez Esteban,Preciado Rangel P,Romero L.",http://200.23.35.7/archivos/productos/investigacion/libros/100300086_1.pdf
